state_code,latitude,longitude,zip_code,city,name,object_id,has_VC,has_angel,has_roundA,has_roundB,has_roundC,has_roundD,avg_participants,is_top500,status
CA,37.779281,-122.419236,94107,San Francisco,Instagram,c:43233,0,1,1,1,0,0,4.0,1,acquired
NY,40.606061,-73.822331,10004,New York,Motionbox,c:1498,0,0,1,1,1,0,2.6667,1,acquired
MA,42.3751,-71.105616,2138,Cambridge,AccelGolf,c:31514,1,1,0,0,0,0,1.0,1,closed
CA,37.779281,-122.419236,94105,San Francisco,MoPub,c:58944,0,1,1,1,0,0,2.25,1,acquired
NJ,40.349274,-74.659296,8540,Princeton,DNP Green Technology,c:40197,0,0,1,0,0,0,6.0,1,closed
CO,40.397761,-105.07498,80538,Loveland,Abound Solar,c:51023,1,0,0,0,0,0,2.5,1,closed
CA,37.420428,-122.090769,94043,Mountain View,Trovix,c:13168,0,0,1,1,0,0,2.5,1,acquired
NY,40.725435,-73.997395,10012,New York,Thumbplay,c:649,0,0,0,0,1,0,4.0,1,acquired
WV,39.388156,-77.885552,25430,Kearneysville,Plethora Technology,c:52694,0,0,1,0,0,0,3.0,0,closed
CA,34.043948,-118.468204,90025,Los Angeles,DailyStrength,c:3080,0,0,1,0,0,0,1.0,1,acquired
MI,42.350749,-83.44458900000002,48187,Canton,Danotek Motion Technologies,c:28424,1,0,0,1,0,0,3.6667,1,closed
CA,37.388869,-122.072353,94041,Mountain View,Yub,c:280611,1,0,0,0,0,0,9.0,1,closed
WA,47.614018,-122.19655,98004,Bellevue,SNAPin Software,c:30537,0,0,0,1,1,0,4.5,1,acquired
CA,37.406217,-121.976473,95054,Santa Clara,Azuro,c:14656,1,0,0,1,0,0,4.0,1,acquired
DC,37.09024,-95.712891,20007,Washington,ARPU,c:1766,1,0,0,1,1,0,3.5,1,closed
CA,37.779281,-122.419236,94105,San Francisco,BookFresh,c:16938,0,1,0,0,0,0,5.0,1,acquired
CA,37.779281,-122.419236,94110,San Francisco,Singly,c:83265,0,0,1,0,0,0,7.0,1,acquired
NY,40.753881,-73.978852,10173,New York,TxVia,c:23136,0,0,1,1,1,1,4.0,1,acquired
CA,37.406914,-122.09037,94043,Mountain View,Blue Vector Systems,c:54066,0,0,0,1,0,0,3.0,1,closed
IL,41.878984,-87.637,60606,Chicago,Open Kernel Labs,c:17219,1,0,1,0,0,0,2.0,1,acquired
NJ,40.535316,-74.521435,8873,Somerset,Elanti Systems,c:23234,1,0,0,0,0,0,3.0,1,closed
CA,37.779281,-122.419236,94105,San Francisco,Astrid,c:70586,0,1,0,0,0,0,3.0,1,acquired
CA,37.863464,-122.3153453,94710,Berkeley,Nordic Windpower,c:26612,1,0,0,0,1,0,2.6667,1,closed
GA,34.070958000000005,-84.274733,30009,Alpharetta,Visiprise,c:57923,0,0,0,1,0,0,7.0,1,closed
WA,39.78373,-100.445882,98104,Seattle,Hubspan,c:58133,0,0,0,0,0,1,4.0,1,acquired
WA,47.614422,-122.192337,98004,Bellevue,iConclude,c:5587,1,0,1,1,0,0,2.3333,1,acquired
CA,37.314002,-121.932365,95128,San Jose,41st Parameter,c:38338,1,0,0,1,1,1,3.0,1,acquired
CA,37.748676,-122.415813,94110,San Francisco,Aardvark,c:4622,0,1,1,0,0,0,4.0,1,acquired
VA,38.030823,-78.48158000000002,22902,Charlottesville,Hotelicopter,c:202,0,0,1,1,0,0,1.0,0,closed
VA,39.035298,-77.430125,20166,Dulles,Anystream,c:15652,1,0,0,0,1,0,2.0,1,acquired
IL,39.78373,-100.445882,60607,Chicago,CakeStyle,c:144825,0,1,0,0,0,0,1.0,0,closed
CA,37.758062,-122.418642,94110,San Francisco,Fluther,c:9772,0,1,0,0,0,0,7.0,1,acquired
CT,41.85361500000001,-72.70375,6002,Bloomfield,Pocket Communications Northeast,c:19101,0,0,1,1,0,0,2.0,1,closed
CA,34.01052,-118.495981,60401,Santa Monica,Goodreads,c:1612,0,1,1,0,0,0,4.0,1,acquired
CA,37.3821368,-121.970505,95054,Santa Clara,Woven Systems,c:17620,0,0,1,1,0,0,2.5,1,acquired
CA,37.433646,-121.886704,95035-6261,Milpitas,Kolorific,c:43873,0,0,0,0,1,0,1.0,0,closed
CA,37.45604,-122.165399,94025,Menlo Park,Krugle,c:3986,0,0,0,1,0,0,4.0,1,acquired
CA,32.721834,-117.161797,92101,San Diego,Flud,c:61592,1,1,0,0,0,0,4.0,1,closed
CA,37.779281,-122.419236,94103,San Francisco,Chomp,c:35236,0,1,1,0,0,0,3.5,1,acquired
CA,37.584103000000006,-122.366082,94010,Burlingame,Origen Therapeutics,c:31968,0,0,0,0,0,0,1.0,0,closed
NC,35.76524000000001,-78.731161,27606,Raleigh,Inlet Technologies,c:27620,1,0,0,1,1,0,3.6667,1,acquired
NY,40.740441,-73.993376,10011,New York,ShopWiki,c:9816,0,0,1,0,0,0,1.0,0,acquired
NY,40.750519,-73.993494,10001,New York,Fondu,c:52566,0,1,0,0,0,0,6.0,0,acquired
MA,42.387597,-71.099497,2143,Somerville,Loudcaster,c:49236,0,1,0,0,0,0,1.0,1,closed
CA,37.522281,-122.258139,94065,Redwood City,TwoFish,c:2234,0,0,1,1,0,0,2.5,1,acquired
TX,40.694599,-73.990638,78701,Austin,Workstreamer,c:3505,0,1,1,0,0,0,1.0,1,closed
NY,40.729839,-73.991781,10003,New York,Qwiki,c:56989,1,0,1,0,0,0,6.3333,1,acquired
CA,37.54827,-121.988572,94538,Fremont,Redwood Systems,c:28482,1,0,1,1,1,0,2.25,1,acquired
MA,42.37564,-71.2358,2451,Waltham,Artisan Pharma,c:40324,0,0,1,1,1,0,4.6667,1,acquired
MD,39.436844,-76.61870400000002,21093,Timonium,Bill Me Later,c:1595,1,0,1,0,0,0,2.5,1,acquired
PA,40.441694,-79.990086,15213,Pittsburgh,Bueda,c:31294,1,1,0,0,0,0,1.0,1,closed
VA,38.958402,-77.357974,20191,Reston,Defywire,c:43875,1,0,0,1,0,0,3.0,1,closed
CA,37.554214,-121.977451,94538,Fremont,Silicon Clocks,c:16562,1,0,0,1,0,0,3.5,1,acquired
NY,40.762674,-73.9821315,10019,New York,TheMarkets,c:18075,1,0,0,0,0,0,5.0,1,acquired
IL,41.875555,-87.624421,60606,Chicago,Netgamix Inc,c:86120,0,1,0,0,0,0,1.0,1,closed
CA,37.55911,-122.303493,95054,Santa Clara,Sentrigo,c:12173,0,0,1,1,1,0,2.0,1,acquired
CA,37.440682,-122.123103,94303,Palo Alto,Netli,c:44650,1,0,0,0,0,0,7.0,1,acquired
OH,39.099909,-84.504243,45202,Cincinnati,Define My Style,c:70021,0,1,0,0,0,0,3.0,1,closed
GA,33.749099,-84.390185,30305,Atlanta,Firethorn,c:17660,1,0,0,1,0,0,1.0,1,acquired
CA,37.404788,-121.940842,95134,San Jose,Wellcore,c:51745,0,0,0,0,0,0,1.0,1,closed
MA,42.3634664,-71.07866379999999,2142,Cambridge,Taligen Therapeutics,c:25324,0,0,1,1,0,0,3.5,1,acquired
CA,37.551441,-122.291435,94403,San Mateo,Adap.tv,c:77,1,1,1,1,1,0,2.5,1,acquired
CA,37.77951820000001,-122.3902619,94107,San Francisco,Current Media,c:1895,0,0,1,0,0,0,3.0,0,closed
CA,37.31665260000001,-122.05074,95008,Campbell,ParAccel,c:16593,1,0,0,1,1,0,5.3333,1,acquired
CA,37.783171,-122.392901,94107-4132,San Francisco,Arch Rock Corporation,c:16289,0,0,1,1,0,0,3.0,1,acquired
NY,37.09024,-95.712891,10014,New York,SpiralFrog,c:575,0,0,1,0,0,0,1.0,0,closed
CA,37.400367,-121.985711,95054,Santa Clara,Plusmo,c:15562,0,0,1,0,0,0,1.0,1,acquired
VA,39.001619,-77.403201,20166,Sterling,ZipList,c:62432,0,0,1,1,0,0,2.0,1,acquired
CA,37.788653,-122.401333,94105,San Francisco,Involver,c:8100,0,0,1,1,1,0,2.5,1,acquired
CA,37.779281,-122.419236,94107,San Francisco,Lionside,c:62262,0,0,1,0,0,0,3.0,1,acquired
NY,40.73901,-73.997259,10011,New York,Game Trust,c:3686,1,0,0,1,0,0,4.0,1,acquired
CA,37.548418700000006,-122.3151646,94403,San Mateo,Nearbuy Systems,c:82805,1,0,0,0,0,0,2.0,1,acquired
CA,37.55818,-122.276454,94404,Foster City,Visible Path,c:196,0,0,1,1,0,0,4.0,1,acquired
GA,33.774486,-84.385448,30308,Atlanta,VT Silicon,c:28114,1,0,1,0,0,0,1.0,1,closed
CA,34.03423370000001,-118.4536137,90025,Los Angeles,GetBack,c:13277,0,0,1,0,0,0,1.0,0,closed
CA,37.835676,-122.263548,94609,Oakland,Slipstream,c:63217,0,1,0,0,0,0,1.0,0,closed
CA,37.5541073,-121.9756765,94538,Fremont,HipLogic,c:2534,0,0,1,1,0,0,2.5,1,acquired
CA,38.279431,-122.668452,94954,Petaluma,Dilithium Networks,c:5264,1,0,0,1,1,1,5.2,1,closed
CA,37.7824533,-122.3879489,94107,San Francisco,Yobongo,c:58512,0,1,0,0,0,0,10.0,1,acquired
IL,41.8851542,-87.62231829999998,60601,Chicago,Brickfish,c:12957,0,0,1,0,0,0,1.0,1,acquired
MA,42.360253,-71.058291,2109,Boston,MyEnergy,c:34499,0,1,1,0,0,0,3.0,1,acquired
CA,37.36883,-122.03635,94085,Sunnyvale,LikeList,c:34028,0,0,1,0,0,0,1.0,0,closed
VA,38.881717,-77.089398,22201,Arlington,Social Collective,c:23335,0,1,0,0,0,0,1.0,0,closed
WA,47.60732,-122.335746,98101,Seattle,Pure Networks,c:30526,0,0,0,1,0,0,3.0,1,acquired
CO,39.568064,-104.977831,80112,Centennial,Internet Pawn,c:42519,1,0,1,0,0,0,2.0,1,closed
IL,41.940611,-87.835972,60631,Chicago,NeuroTherapeutics Pharma,c:48376,1,0,0,1,0,0,4.0,1,closed
CA,37.560155,-122.285588,94404,San Mateo,Provade,c:15693,1,0,1,0,1,0,1.0,1,acquired
CA,37.404788,-121.940842,95134,San Jose,Infineta Systems,c:47587,0,0,1,1,0,0,2.5,1,closed
TX,30.268236,-97.740651,78701,Austin,Challenge Games,c:1669,0,0,1,1,0,0,1.5,1,acquired
CA,37.758229,-122.439512,94114,San Francisco,Crowd Factory,c:421,1,0,0,0,0,0,3.0,1,acquired
TN,35.149021999999995,-90.05162800000002,38103-4717,Memphis,Friendsignia,c:155621,0,1,0,0,0,0,1.0,0,closed
NY,40.730646,-73.986614,10013,New York,Vizibility,c:40782,1,1,0,0,0,0,3.0,1,acquired
CA,37.5783263,-122.3485679,94010-4031,Burlingame,OpenFeint,c:51306,1,0,0,0,0,0,1.0,1,acquired
NY,40.743808,-73.983626,10016,New York,Tumblr,c:1088,1,0,1,1,1,1,3.5,1,acquired
NY,40.730646,-73.986614,10013,New York,Hotlist,c:34522,1,1,0,0,0,0,1.0,1,closed
MA,42.3751,-71.105616,2139,Cambridge,Crashlytics,c:83692,0,1,1,0,0,0,6.0,1,acquired
MN,45.006515,-93.46651,55441,Plymouth,BridgePoint Medical,c:43831,1,0,0,1,1,0,3.0,1,acquired
CA,37.777741,-122.412198,94104,San Francisco,Recurve,c:28428,1,0,1,0,0,0,2.0,1,acquired
TX,30.35504,-97.801083,78730,Austin,Conformity,c:17974,0,0,1,0,0,0,1.0,0,closed
WA,39.78373,-100.445882,98104,Seattle,Moprise,c:81475,1,1,0,0,0,0,1.0,1,closed
CA,37.779281,-122.419236,94108,San Francisco,Plizy,c:76543,1,0,1,0,0,0,1.0,1,closed
PA,40.0708709,-75.302716,19428,Conshohocken,ShopRunner,c:84161,1,0,0,0,0,0,1.0,0,acquired
MA,42.296111,-71.238524,2494,Needham,RatePoint,c:810,0,0,1,1,1,0,2.5,1,closed
CA,33.63776,-117.855989,92660,Newport Beach,Digital Performance,c:16488,1,0,1,0,0,0,2.0,1,closed
TX,30.2729209,-97.7443863,78701,Austin,Gowalla,c:11042,0,0,1,1,0,0,6.0,1,acquired
CO,40.138979,-105.124465,80501,Longmont,Copan Systems,c:17633,1,0,0,0,1,1,6.5,1,acquired
CA,37.512318,-122.20091399999998,94063,Redwood City,Replay Solutions,c:3187,0,0,1,1,0,0,2.0,1,acquired
NY,40.728425,-73.999882,10012,New York,Turf Geography Club,c:164922,0,1,0,0,0,0,3.0,1,closed
CA,37.779281,-122.419236,94108,San Francisco,skyrockit,c:81886,1,0,0,0,0,0,1.0,1,closed
IL,41.800255,-88.149362,60563,Naperville,Cartavi,c:54585,0,1,0,0,0,0,1.0,1,acquired
CA,34.147047,-118.148896,91101,Pasadena,Cramster,c:11507,0,0,1,1,0,0,1.0,0,acquired
CA,37.317847,-121.948469,95128,San Jose,Certify Data Systems,c:24860,1,0,1,1,0,0,1.0,0,acquired
CA,37.779281,-122.419236,94103,San Francisco,Wheelz,c:148750,0,0,1,0,0,0,3.0,1,acquired
MA,42.37564,-71.2358,2451,Waltham,CentrePath,c:45611,1,0,0,0,1,0,2.5,1,acquired
CA,37.8093381,-122.4166061,94111,San Francisco,VoxPop Network Corporation,c:4106,0,0,1,1,0,0,3.0,1,acquired
CA,37.43841079999999,-121.9240273,95035,Milpitas,OpVista,c:17775,0,0,0,0,1,1,1.0,1,closed
CA,37.775196,-122.419204,94105,San Francisco,Metaweb Technologies,c:144,0,0,1,1,0,0,3.5,1,acquired
CA,37.78811500000001,-122.397141,94105,San Francisco,DocVerse,c:13046,0,1,0,0,0,0,4.0,1,acquired
CA,32.902266,-117.20834,92121,San Diego,Veoh,c:40,0,0,1,1,1,1,5.0,1,acquired
MA,42.341899,-71.065924,2118,Boston,BzzAgent,c:26460,0,1,0,1,0,0,2.0,1,acquired
CA,37.40006,-122.049689,94043,Mountain View,Hammerhead Systems,c:15887,0,0,0,0,1,1,6.0,1,closed
PA,40.418851,-79.904163,15218,Pittsburgh,ThermalTherapeuticSystems,c:36742,1,0,1,0,0,0,3.0,1,closed
CA,37.778613,-122.395289,94404,San Mateo,GuardianEdge Technologies,c:3962,0,0,1,1,0,0,3.3333,1,acquired
CA,34.019657,-118.487549,90405,Santa Monica,Gradient X,c:162116,0,0,0,0,0,0,9.0,1,acquired
IL,41.817807,-88.173402,60555,Warrenville,ezzai - how to arabia,c:55044,0,0,0,0,0,0,2.0,0,closed
NC,35.79181,-78.74123,27607,Raleigh,rPath,c:7207,0,0,1,1,1,1,2.75,1,closed
PA,40.063476,-75.457492,19312,Berwyn,Boomi,c:863,0,1,0,1,0,0,1.5,1,acquired
CA,37.382376,-122.037607,94086,Sunnyvale,VoloMedia,c:16066,0,0,0,1,1,0,2.0,1,closed
CA,37.76690900000001,-122.406676,94103,San Francisco,Flixster,c:220,0,1,1,1,0,0,2.6667,1,acquired
CA,37.793148,-122.402567,94104,San Francisco,Wesabe,c:54,0,1,1,0,0,0,1.5,1,closed
CA,26.0524615,-80.1378809,95037,Morgan Hill,OfferLounge,c:9730,0,1,0,0,0,0,2.0,0,closed
CA,37.393679,-122.079017,94041,Mountain View,NeoEdge Networks,c:3122,1,0,0,1,0,0,1.6667,0,acquired
TX,30.435079,-97.770139,78729,Austin,SemiSouth Laboratories,c:36579,1,0,1,0,0,0,3.0,0,closed
MA,42.345927,-71.55228699999998,01752-4603,Marlborough,Camiant,c:43327,0,0,0,1,1,0,2.5,1,acquired
CA,37.795191,-122.430411,94115,San Francisco,NuConomy,c:1789,0,1,1,0,0,0,2.0,1,acquired
CA,37.779281,-122.419236,94110,San Francisco,Flowtown,c:38339,0,1,0,0,0,0,9.0,1,acquired
GA,33.776834,-84.3895875,30308,Atlanta,GlobalCrypto,c:13410,1,1,0,0,0,0,2.0,0,closed
NY,40.730646,-73.986614,10154,New York,Bioenvision,c:43915,1,0,0,0,0,0,3.0,1,closed
CA,37.404788,-121.940842,95134,San Jose,Teranetics,c:37712,1,0,0,0,1,0,5.3333,1,acquired
CA,33.97279,-118.427578,90094,Playa Vista,WebVisible,c:3288,0,0,1,1,1,0,1.3333,1,closed
CA,37.7983181,-122.4000032,94111,San Francisco,GoodGuide,c:10179,0,0,1,1,0,0,3.0,1,acquired
CA,37.320309,-122.05004,95014,Cupertino,ViVu,c:33869,0,0,1,1,0,0,2.5,1,acquired
NY,40.730646,-73.986614,10013,New York,avVenta,c:21528,0,0,1,0,0,0,1.0,0,acquired
RI,51.43247,-2.664213,2906,Providence,DiJiPOP,c:30820,0,1,0,0,0,0,1.5,1,acquired
DC,38.897976,-77.028561,20005,Washington,Layer 7 Technologies,c:25782,1,0,0,1,0,0,2.0,1,acquired
CA,37.781689,-122.391061,94107,San Francisco,DeliveryEdge,c:278,0,0,0,0,0,0,1.0,0,closed
CA,37.779281,-122.419236,94105,San Francisco,Solmentum,c:75500,0,1,0,0,0,0,4.0,0,closed
CA,37.787249,-122.3990501,94105,San Francisco,Pipewise,c:67806,0,0,1,0,0,0,5.0,1,closed
WA,47.602873,-122.336132,98104,Seattle,GridNetworks,c:1212,0,1,1,1,0,0,2.0,1,closed
CA,39.78373,-100.445882,94043-1107,Mountain View,MAP Pharmaceuticals,c:31754,0,0,0,0,0,1,6.0,1,acquired
NY,40.745003,-73.98322900000002,10016,New York,"ORCA, Inc.",c:25307,0,0,1,0,0,0,3.0,1,acquired
CA,37.52845,-122.263721,94065,Redwood City,Amobee,c:1870,1,0,1,1,1,1,2.3333,1,acquired
CA,34.045919,-118.16525,91754,Monterey Park,KOTURA,c:27285,0,0,0,1,1,1,4.5,1,acquired
TX,33.068275,-96.711101,75023,Plano,Auvitek International,c:48640,0,0,0,1,0,0,4.0,1,closed
CA,37.287285,-121.942932,94041,Mountain View,Outright,c:18470,0,0,1,0,0,0,3.5,1,acquired
TX,30.271393,-97.748623,78701,Austin,Phurnace Software,c:21395,0,0,1,0,0,0,2.0,1,acquired
CA,34.142973,-118.140553,91105,Pasadena,FastSoft,c:25132,1,0,1,0,0,0,1.0,0,acquired
CA,37.465645,-121.932202,94538,Fremont,GrandCentral,c:72,0,0,1,0,0,0,1.0,0,acquired
MI,42.548008,-83.214753,48025,Bingham Farms,Speedshape,c:17429,1,0,0,0,0,0,1.0,0,closed
CA,37.32052,-121.948399,95128,San Jose,BlueLithium,c:487,0,0,1,0,0,0,2.0,1,acquired
IL,41.875555,-87.624421,60657,Chicago,Media Chaperone,c:40665,1,0,0,0,0,0,1.0,0,closed
NY,40.7566658,-73.9827553,10036,New York,Giant Realm,c:2972,0,0,1,0,0,0,2.0,1,acquired
PA,39.951311,-75.169522,10011,Philadelphia,Invite Media,c:1832,0,1,1,0,0,0,1.6667,1,acquired
CA,37.406914,-122.09037,94043,Mountain View,UpMo,c:30173,1,0,0,0,0,0,3.0,0,closed
CA,36.9397206,-121.7768449,95019-2901,Freedom,Appscio,c:17512,0,0,1,0,0,0,2.0,0,closed
MA,42.375219,-71.056101,2129,Boston,Eons,c:833,0,0,1,1,0,0,3.5,1,closed
MA,42.358822,-71.104329,2142,Cambridge,LocaModa,c:615,0,0,1,0,0,0,2.0,0,acquired
